field_name, field_type, label, categorical, business_key, not_null, format_code
id, STRING, id, ,True, , 
member_id, FLOAT, member_id, , , , 
loan_amnt, FLOAT, loan_amnt, , , , 
funded_amnt, FLOAT, funded_amnt, , , , 
funded_amnt_inv, FLOAT, funded_amnt_inv, , , , 
term, STRING, term, , , , 
int_rate, FLOAT, int_rate, , , , 
installment, FLOAT, installment, , , , 
grade, STRING, grade, , , , 
sub_grade, STRING, sub_grade, , , , 
emp_title, STRING, emp_title, , , , 
emp_length, STRING, emp_length, , , , 
home_ownership, STRING, home_ownership, , , , 
annual_inc, FLOAT, annual_inc, , , , 
verification_status, STRING, verification_status, , , , 
issue_d, STRING, issue_d, , , , 
loan_status, STRING, loan_status, , , , 
pymnt_plan, STRING, pymnt_plan, , , , 
url, STRING, url, , , , 
desc, STRING, desc, , , , 
purpose, STRING, purpose, , , , 
title, STRING, title, , , , 
zip_code, STRING, zip_code, , , , 
addr_state, STRING, addr_state, , , , 
dti, FLOAT, dti, , , , 
delinq_2yrs, FLOAT, delinq_2yrs, , , , 
earliest_cr_line, STRING, earliest_cr_line, , , , 
fico_range_low, FLOAT, fico_range_low, , , , 
fico_range_high, FLOAT, fico_range_high, , , , 
inq_last_6mths, FLOAT, inq_last_6mths, , , , 
mths_since_last_delinq, FLOAT, mths_since_last_delinq, , , , 
mths_since_last_record, FLOAT, mths_since_last_record, , , , 
open_acc, FLOAT, open_acc, , , , 
pub_rec, FLOAT, pub_rec, , , , 
revol_bal, FLOAT, revol_bal, , , , 
revol_util, FLOAT, revol_util, , , , 
total_acc, FLOAT, total_acc, , , , 
initial_list_status, STRING, initial_list_status, , , , 
out_prncp, FLOAT, out_prncp, , , , 
out_prncp_inv, FLOAT, out_prncp_inv, , , , 
total_pymnt, FLOAT, total_pymnt, , , , 
total_pymnt_inv, FLOAT, total_pymnt_inv, , , , 
total_rec_prncp, FLOAT, total_rec_prncp, , , , 
total_rec_int, FLOAT, total_rec_int, , , , 
total_rec_late_fee, FLOAT, total_rec_late_fee, , , , 
recoveries, FLOAT, recoveries, , , , 
collection_recovery_fee, FLOAT, collection_recovery_fee, , , , 
last_pymnt_d, STRING, last_pymnt_d, , , , 
last_pymnt_amnt, FLOAT, last_pymnt_amnt, , , , 
next_pymnt_d, STRING, next_pymnt_d, , , , 
last_credit_pull_d, STRING, last_credit_pull_d, , , , 
last_fico_range_high, FLOAT, last_fico_range_high, , , , 
last_fico_range_low, FLOAT, last_fico_range_low, , , , 
collections_12_mths_ex_med, FLOAT, collections_12_mths_ex_med, , , , 
mths_since_last_major_derog, FLOAT, mths_since_last_major_derog, , , , 
policy_code, FLOAT, policy_code, , , , 
application_type, STRING, application_type, , , , 
annual_inc_joint, FLOAT, annual_inc_joint, , , , 
dti_joint, FLOAT, dti_joint, , , , 
verification_status_joint, STRING, verification_status_joint, , , , 
acc_now_delinq, FLOAT, acc_now_delinq, , , , 
tot_coll_amt, FLOAT, tot_coll_amt, , , , 
tot_cur_bal, FLOAT, tot_cur_bal, , , , 
open_acc_6m, FLOAT, open_acc_6m, , , , 
open_act_il, FLOAT, open_act_il, , , , 
open_il_12m, FLOAT, open_il_12m, , , , 
open_il_24m, FLOAT, open_il_24m, , , , 
mths_since_rcnt_il, FLOAT, mths_since_rcnt_il, , , , 
total_bal_il, FLOAT, total_bal_il, , , , 
il_util, FLOAT, il_util, , , , 
open_rv_12m, FLOAT, open_rv_12m, , , , 
open_rv_24m, FLOAT, open_rv_24m, , , , 
max_bal_bc, FLOAT, max_bal_bc, , , , 
all_util, FLOAT, all_util, , , , 
total_rev_hi_lim, FLOAT, total_rev_hi_lim, , , , 
inq_fi, FLOAT, inq_fi, , , , 
total_cu_tl, FLOAT, total_cu_tl, , , , 
inq_last_12m, FLOAT, inq_last_12m, , , , 
acc_open_past_24mths, FLOAT, acc_open_past_24mths, , , , 
avg_cur_bal, FLOAT, avg_cur_bal, , , , 
bc_open_to_buy, FLOAT, bc_open_to_buy, , , , 
bc_util, FLOAT, bc_util, , , , 
chargeoff_within_12_mths, FLOAT, chargeoff_within_12_mths, , , , 
delinq_amnt, FLOAT, delinq_amnt, , , , 
mo_sin_old_il_acct, FLOAT, mo_sin_old_il_acct, , , , 
mo_sin_old_rev_tl_op, FLOAT, mo_sin_old_rev_tl_op, , , , 
mo_sin_rcnt_rev_tl_op, FLOAT, mo_sin_rcnt_rev_tl_op, , , , 
mo_sin_rcnt_tl, FLOAT, mo_sin_rcnt_tl, , , , 
mort_acc, FLOAT, mort_acc, , , , 
mths_since_recent_bc, FLOAT, mths_since_recent_bc, , , , 
mths_since_recent_bc_dlq, FLOAT, mths_since_recent_bc_dlq, , , , 
mths_since_recent_inq, FLOAT, mths_since_recent_inq, , , , 
mths_since_recent_revol_delinq, FLOAT, mths_since_recent_revol_delinq, , , , 
num_accts_ever_120_pd, FLOAT, num_accts_ever_120_pd, , , , 
num_actv_bc_tl, FLOAT, num_actv_bc_tl, , , , 
num_actv_rev_tl, FLOAT, num_actv_rev_tl, , , , 
